date,type,category,latitude,longitude
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.45943832,70.12445831
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.90193939,69.27777863
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.61166,70.07861328
2/18/2004 0:00:00,Enemy Action,Direct Fire,31,65.00000763
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.60527039,70.0772171
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.55749893,68.30278015
2/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.32555008,68.50582886
2/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.69583893,69.3777771
2/19/2004 0:00:00,Enemy Action,Direct Fire,31.95861053,67.30304718
2/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.49332809,69.95694733
2/20/2004 0:00:00,Enemy Action,Direct Fire,32,66.90000153
2/20/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.58388901,69.18805695
2/21/2004 0:00:00,Enemy Action,Direct Fire,33.32389069,68.51109314
2/21/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.83805084,69.42111206
2/21/2004 0:00:00,Friendly Action,Cache Found/Cleared,31.62055016,65.89943695
2/21/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.83776855,69.36277008
2/22/2004 0:00:00,Enemy Action,Direct Fire,31.83333015,65.03333282
2/22/2004 0:00:00,Explosive Hazard,IED Explosion,32.6444397,65.54750061
2/22/2004 0:00:00,Enemy Action,Direct Fire,31,66.40000153
2/25/2004 0:00:00,Enemy Action,Direct Fire,34.98332977,69.66751099
2/25/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.23194122,68.06194305
2/25/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.09999084,66.90000153
2/25/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.23167038,68.06472015
2/26/2004 0:00:00,Enemy Action,Direct Fire,32.51665115,66.6258316
2/26/2004 0:00:00,Enemy Action,Direct Fire,32.51194,66.6277771
2/26/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.14722061,69.66915894
2/26/2004 15:10:00,Enemy Action,Indirect Fire,32.12889099,66.92749786
2/27/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.93333054,66.6333313
2/27/2004 0:00:00,Enemy Action,Direct Fire,31.56666946,67.05000305
2/27/2004 0:00:00,Non-Combat Event,Propaganda,35.04999924,64.71665955
2/27/2004 0:00:00,Explosive Hazard,IED Found/Cleared,31.49235153,65.4172287
2/27/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.83277893,71.12082672
2/27/2004 0:00:00,Friendly Action,Cache Found/Cleared,31.52194023,65.97222137
2/28/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.15055084,67.72611237
2/28/2004 0:00:00,Enemy Action,Indirect Fire,33.40166855,69.89666748
2/28/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.32276917,69.38054657
2/28/2004 0:00:00,Enemy Action,Direct Fire,32.6333313,66.76667023
2/29/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.98471832,70.89610291
2/29/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.45582962,69.04360962
3/1/2004 0:00:00,Enemy Action,Indirect Fire,33.36750031,69.95778656
3/1/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.19971848,70.15721893
3/2/2004 0:00:00,Explosive Hazard,IED Explosion,34.96220779,71.09215546
3/2/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.62443924,65.8861084
3/2/2004 0:00:00,Suspicious Incident,Surveillance,34.53388977,69.18501282
3/2/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.32387924,69.93250275
3/3/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.79166031,69.37610626
3/4/2004 0:00:00,Enemy Action,Direct Fire,32.94083023,69.3722229
3/4/2004 0:00:00,Enemy Action,Attack,31,66.40000153
3/4/2004 0:00:00,Enemy Action,Direct Fire,33.42625046,64.01112366
3/4/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.5566597,69.76972198
3/14/2004 0:00:00,Enemy Action,Indirect Fire,34.41249084,70.4716568
3/5/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.79166031,69.37610626
3/5/2004 0:00:00,Other,Other,32.9316597,69.45471954
3/5/2004 0:00:00,Enemy Action,ATTACK,32.45000076,67.41665649
3/5/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.55027008,69.88498688
3/5/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.55887985,69.88054657
3/6/2004 0:00:00,Explosive Hazard,IED Explosion,32.97917175,65.47833252
3/6/2004 0:00:00,Enemy Action,Direct Fire,32.98445129,65.48803711
3/7/2004 0:00:00,Explosive Hazard,IED Explosion,33.55833054,68.32138824
3/7/2004 0:00:00,Enemy Action,Other (Hostile Action),32.11664963,66.90000153
3/7/2004 0:00:00,Enemy Action,Direct Fire,32.56666183,67.5
3/7/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.42998886,68.99445343
3/8/2004 0:00:00,Enemy Action,Indirect Fire,32.07389069,66.98500061
3/9/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.54777908,69.80555725
3/9/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.50749969,68.45195007
3/9/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.79999924,69.7097168
3/9/2004 0:00:00,Non-Combat Event,Propaganda,33.34138107,69.91777802
