latitude,longitude,date,event
17.22519,106.13442,1/21/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Light/Slight Total Bombs = 810
17.22519,106.13442,1/21/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Light/Slight Total Bombs = 811
17.05992,105.96833,1/22/1967 0:00:00,1000 LB GPB M-65 A-1 AA/AAA Site Unobserved Total Bombs = 1
17.22102,106.15053,1/28/1967 0:00:00,1000 LB GPB M-65 A-1 Road SEC Explose Total Bombs = 3
17.41266,105.72669,1/31/1967 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Unobserved Total Bombs = 116
17.06409,105.98083,3/16/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Heavy/MOD Total Bombs = 6
17.30573,105.54616,3/18/1967 0:00:00,1000 LB GPB M-65 A-1 Troops Unobserved Total Bombs = 1
17.57654,105.86833,4/2/1967 0:00:00,1000 LB General Purpose Bomb - High Drag Truck Park/Stop Unobserved Total Bombs = 6
17.321,105.68503,5/1/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 2
17.32378,105.68364,5/1/1967 0:00:00,1000 LB GPB M-65 A-1 Building Unobserved Total Bombs = 2
17.31878,105.56422,5/1/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 2
17.57653,105.19564,5/1/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle SEC Explose Total Bombs = 2
17.33434,105.66281,5/2/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 2
17.26824,105.79196,5/2/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Unobserved Total Bombs = 1
17.32656,105.66003,5/2/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 2
17.31823,105.57116,5/3/1967 0:00:00,1000 LB GPB M-65 A-1 Bridge Unobserved Total Bombs = 2
17.31767,105.59893,5/3/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Unobserved Total Bombs = 2
17.2599,105.7878,5/3/1967 0:00:00,1000 LB GPB M-65 A-1 Motor Vehicle Cut Total Bombs = 2
